Description,Code,Selling,Buying_TT,Buting_Notes,Scrape_time,Buying_Notes
Norwegian Krone,NOK,2.295593,2.213364,,2025-10-12,2.199895
New Zealand Dollar,NZD,13.342875,12.782552,,2025-10-12,12.782552
Swedish Krona,SEK,2.436144,2.347742,,2025-10-12,2.333456
South African Rand,ZAR,1.333382,1.302216,,2025-10-12,1.302216
Euro,EUR,26.580372,25.992272,,2025-10-13,25.992272
Pound Sterling,GBP,30.504929,29.83066,,2025-10-13,29.83066
US Dollar,USD,22.932,22.5184,,2025-10-13,22.5184
Australian Dollar,AUD,15.194634,14.64915,,2025-10-13,14.560007
Botswana Pula,BWP,1.652196,1.560039,,2025-10-13,1.550546
Canadian Dollar,CAD,16.584477,15.995283,,2025-10-13,15.897949
Swiss Franc,CHF,28.818927,27.783267,,2025-10-13,27.614201
Danish Kroner,DKK,3.594554,3.466723,,2025-10-13,3.445627
Indian Rupee,INR,0.26176,0.252433,,2025-10-13,0.250897
Japanese Yen,JPY,0.150485,0.147152,,2025-10-13,0.147152
Namibia Dollar,NAD,1.346326,1.298369,,2025-10-13,1.290469
Norwegian Krone,NOK,2.295593,2.213364,,2025-10-13,2.199895
New Zealand Dollar,NZD,13.342875,12.782552,,2025-10-13,12.782552
Swedish Krona,SEK,2.436144,2.347742,,2025-10-13,2.333456
South African Rand,ZAR,1.333382,1.302216,,2025-10-13,1.302216
Euro,EUR,26.360364,25.77663,,2025-10-14,25.77663
Pound Sterling,GBP,30.366574,29.690348,,2025-10-14,29.690348
US Dollar,USD,22.7304,22.32,,2025-10-14,22.32
Australian Dollar,AUD,14.996652,14.460183,,2025-10-14,14.37219
Botswana Pula,BWP,1.858481,1.539639,,2025-10-14,1.53027
Canadian Dollar,CAD,16.412873,15.828339,,2025-10-14,15.732021
Swiss Franc,CHF,28.601094,27.572707,,2025-10-14,27.404922
Danish Kroner,DKK,3.56472,3.437137,,2025-10-14,3.416221
Indian Rupee,INR,0.259479,0.250234,,2025-10-14,0.248711
Japanese Yen,JPY,0.149662,0.146325,,2025-10-14,0.146325
Namibia Dollar,NAD,1.327979,1.280653,,2025-10-14,1.27286
Norwegian Krone,NOK,2.283136,2.198603,,2025-10-14,2.185224
New Zealand Dollar,NZD,13.184173,12.632445,,2025-10-14,12.632445
Swedish Krona,SEK,2.422152,2.335755,,2025-10-14,2.321541
South African Rand,ZAR,1.315173,1.285529,,2025-10-14,1.285529
Euro,EUR,26.41653,25.831679,,2025-10-15,25.831679
Pound Sterling,GBP,30.328906,29.653633,,2025-10-15,29.653633
US Dollar,USD,22.7808,22.3696,,2025-10-15,22.3696
Australian Dollar,AUD,14.900813,14.365581,,2025-10-15,14.278164
Botswana Pula,BWP,1.855686,1.538614,,2025-10-15,1.529251
Canadian Dollar,CAD,16.418803,15.831886,,2025-10-15,15.735545
Swiss Franc,CHF,28.703773,27.671811,,2025-10-15,27.503423
Danish Kroner,DKK,3.572126,3.445042,,2025-10-15,3.424078
Indian Rupee,INR,0.259633,0.250381,,2025-10-15,0.248857
Japanese Yen,JPY,0.150151,0.146804,,2025-10-15,0.146804
Namibia Dollar,NAD,1.32232,1.275195,,2025-10-15,1.267435
Norwegian Krone,NOK,2.259779,2.179214,,2025-10-15,2.165953
New Zealand Dollar,NZD,13.141945,12.59201,,2025-10-15,12.59201
Swedish Krona,SEK,2.415137,2.325374,,2025-10-15,2.311224
South African Rand,ZAR,1.309581,1.280075,,2025-10-15,1.280075
Euro,EUR,26.589356,26.003063,,2025-10-16,26.003063
Pound Sterling,GBP,30.546991,29.867053,,2025-10-16,29.867053
US Dollar,USD,22.8312,22.4192,,2025-10-16,22.4192
Australian Dollar,AUD,15.051605,14.513309,,2025-10-16,14.424992
Botswana Pula,BWP,1.866722,1.546482,,2025-10-16,1.537071
Canadian Dollar,CAD,16.452785,15.86586,,2025-10-16,15.769313
Swiss Franc,CHF,28.907658,27.868434,,2025-10-16,27.69885
Danish Kroner,DKK,3.59535,3.467617,,2025-10-16,3.446516
Indian Rupee,INR,0.262448,0.253076,,2025-10-16,0.251536
Japanese Yen,JPY,0.15102,0.147693,,2025-10-16,0.147693
Namibia Dollar,NAD,1.332099,1.284639,,2025-10-16,1.276821
Norwegian Krone,NOK,2.291987,2.210302,,2025-10-16,2.196852
New Zealand Dollar,NZD,13.221847,12.670871,,2025-10-16,12.670871
Swedish Krona,SEK,2.438131,2.351186,,2025-10-16,2.336879
South African Rand,ZAR,1.319481,1.289754,,2025-10-16,1.289754
Euro,EUR,26.669424,26.079134,,2025-10-17,26.079134
Pound Sterling,GBP,30.700263,30.021433,,2025-10-17,30.021433
US Dollar,USD,22.8312,22.4192,,2025-10-17,22.4192
Australian Dollar,AUD,14.986916,14.450915,,2025-10-17,14.362978
Botswana Pula,BWP,1.871343,1.550939,,2025-10-17,1.541501
Canadian Dollar,CAD,16.448099,15.861342,,2025-10-17,15.764823
Swiss Franc,CHF,28.998368,27.95584,,2025-10-17,27.785723
Danish Kroner,DKK,3.605787,3.477574,,2025-10-17,3.456413
Indian Rupee,INR,0.262737,0.253375,,2025-10-17,0.251833
Japanese Yen,JPY,0.15142,0.148055,,2025-10-17,0.148055
Namibia Dollar,NAD,1.334308,1.286768,,2025-10-17,1.278938
Norwegian Krone,NOK,2.294787,2.210433,,2025-10-17,2.196982
New Zealand Dollar,NZD,13.226468,12.673086,,2025-10-17,12.673086
Swedish Krona,SEK,2.443443,2.356283,,2025-10-17,2.341944
South African Rand,ZAR,1.321577,1.291429,,2025-10-17,1.291429
Euro,EUR,26.748931,26.157013,,2025-10-18,26.157013
Pound Sterling,GBP,30.726765,30.043005,,2025-10-18,30.043005
US Dollar,USD,22.8816,22.4688,,2025-10-18,22.4688
Australian Dollar,AUD,14.999161,14.460553,,2025-10-18,14.372558
Botswana Pula,BWP,1.639303,1.54767,,2025-10-18,1.538252
Canadian Dollar,CAD,16.48793,15.898697,,2025-10-18,15.801951
Swiss Franc,CHF,29.23854,28.187429,,2025-10-18,28.015903
Danish Kroner,DKK,3.616682,3.488099,,2025-10-18,3.466873
Indian Rupee,INR,0.263081,0.253708,,2025-10-18,0.252164
Japanese Yen,JPY,0.15239,0.149003,,2025-10-18,0.149003
Namibia Dollar,NAD,1.330139,1.282755,,2025-10-18,1.27495
Norwegian Krone,NOK,2.299442,2.214335,,2025-10-18,2.200861
New Zealand Dollar,NZD,13.234826,12.681146,,2025-10-18,12.681146
Swedish Krona,SEK,2.449407,2.357582,,2025-10-18,2.343235
South African Rand,ZAR,1.317265,1.287967,,2025-10-18,1.287967
Euro,EUR,26.748931,26.157013,,2025-10-19,26.157013
Pound Sterling,GBP,30.726765,30.043005,,2025-10-19,30.043005
US Dollar,USD,22.8816,22.4688,,2025-10-19,22.4688
Australian Dollar,AUD,14.999161,14.460553,,2025-10-19,14.372558
Botswana Pula,BWP,1.639303,1.54767,,2025-10-19,1.538252
Canadian Dollar,CAD,16.48793,15.898697,,2025-10-19,15.801951
Swiss Franc,CHF,29.23854,28.187429,,2025-10-19,28.015903
Danish Kroner,DKK,3.616682,3.488099,,2025-10-19,3.466873
Indian Rupee,INR,0.263081,0.253708,,2025-10-19,0.252164
Japanese Yen,JPY,0.15239,0.149003,,2025-10-19,0.149003
Namibia Dollar,NAD,1.330139,1.282755,,2025-10-19,1.27495
Norwegian Krone,NOK,2.299442,2.214335,,2025-10-19,2.200861
New Zealand Dollar,NZD,13.234826,12.681146,,2025-10-19,12.681146
Swedish Krona,SEK,2.449407,2.357582,,2025-10-19,2.343235
South African Rand,ZAR,1.317265,1.287967,,2025-10-19,1.287967
Euro,EUR,26.748931,26.157013,,2025-10-20,26.157013
Pound Sterling,GBP,30.726765,30.043005,,2025-10-20,30.043005
US Dollar,USD,22.8816,22.4688,,2025-10-20,22.4688
Australian Dollar,AUD,14.999161,14.460553,,2025-10-20,14.372558
Botswana Pula,BWP,1.639303,1.54767,,2025-10-20,1.538252
Canadian Dollar,CAD,16.48793,15.898697,,2025-10-20,15.801951
Swiss Franc,CHF,29.23854,28.187429,,2025-10-20,28.015903
Danish Kroner,DKK,3.616682,3.488099,,2025-10-20,3.466873
Indian Rupee,INR,0.263081,0.253708,,2025-10-20,0.252164
Japanese Yen,JPY,0.15239,0.149003,,2025-10-20,0.149003
Namibia Dollar,NAD,1.330139,1.282755,,2025-10-20,1.27495
Norwegian Krone,NOK,2.299442,2.214335,,2025-10-20,2.200861
New Zealand Dollar,NZD,13.234826,12.681146,,2025-10-20,12.681146
Swedish Krona,SEK,2.449407,2.357582,,2025-10-20,2.343235
South African Rand,ZAR,1.317265,1.287967,,2025-10-20,1.287967
Euro,EUR,26.651123,26.061235,,2025-10-21,26.061235
Pound Sterling,GBP,30.663661,29.985635,,2025-10-21,29.985635
US Dollar,USD,22.8312,22.4192,,2025-10-21,22.4192
Australian Dollar,AUD,15.01926,14.48434,,2025-10-21,14.3962
Botswana Pula,BWP,1.871343,1.550939,,2025-10-21,1.541501
Canadian Dollar,CAD,16.459818,15.872641,,2025-10-21,15.776052
Swiss Franc,CHF,29.159409,28.111013,,2025-10-21,27.939952
Danish Kroner,DKK,3.603762,3.475351,,2025-10-21,3.454202
Indian Rupee,INR,0.262893,0.253525,,2025-10-21,0.251983
Japanese Yen,JPY,0.151741,0.148359,,2025-10-21,0.148359
Namibia Dollar,NAD,1.337521,1.289859,,2025-10-21,1.28201
Norwegian Krone,NOK,2.297686,2.212628,,2025-10-21,2.199164
New Zealand Dollar,NZD,13.258812,12.706308,,2025-10-21,12.706308
Swedish Krona,SEK,2.450831,2.363455,,2025-10-21,2.349073
South African Rand,ZAR,1.32483,1.294979,,2025-10-21,1.294979
Euro,EUR,26.449188,25.863503,,2025-10-22,25.863503
Pound Sterling,GBP,30.469064,29.78613,,2025-10-22,29.78613
US Dollar,USD,22.7304,22.32,,2025-10-22,22.32
Australian Dollar,AUD,14.895448,14.362569,,2025-10-22,14.27517
Botswana Pula,BWP,1.630771,1.539639,,2025-10-22,1.53027
Canadian Dollar,CAD,16.381312,15.796782,,2025-10-22,15.700655
Swiss Franc,CHF,28.964866,27.923222,,2025-10-22,27.753304
Danish Kroner,DKK,3.576304,3.448517,,2025-10-22,3.427532
Indian Rupee,INR,0.26139,0.252074,,2025-10-22,0.25054
Japanese Yen,JPY,0.150294,0.146981,,2025-10-22,0.146981
Namibia Dollar,NAD,1.319319,1.272295,,2025-10-22,1.264552
Norwegian Krone,NOK,2.28461,2.203013,,2025-10-22,2.189607
New Zealand Dollar,NZD,13.161172,12.6126,,2025-10-22,12.6126
Swedish Krona,SEK,2.439907,2.352848,,2025-10-22,2.33853
South African Rand,ZAR,1.306309,1.27687,,2025-10-22,1.27687
Euro,EUR,26.21003,25.629189,,2025-10-23,25.629189
Pound Sterling,GBP,30.158032,29.485945,,2025-10-23,29.485945
US Dollar,USD,22.554,22.1464,,2025-10-23,22.1464
Australian Dollar,AUD,14.820932,14.290483,,2025-10-23,14.203522
Botswana Pula,BWP,1.599857,1.52106,,2025-10-23,1.511804
Canadian Dollar,CAD,16.295966,15.716443,,2025-10-23,15.620805
Swiss Franc,CHF,28.646291,27.615669,,2025-10-23,27.447623
Danish Kroner,DKK,3.543977,3.417127,,2025-10-23,3.396333
Indian Rupee,INR,0.260177,0.2509,,2025-10-23,0.249373
Japanese Yen,JPY,0.148725,0.145406,,2025-10-23,0.145406
Namibia Dollar,NAD,1.312702,1.265898,,2025-10-23,1.258195
Norwegian Krone,NOK,2.278286,2.194464,,2025-10-23,2.18111
New Zealand Dollar,NZD,13.111526,12.562635,,2025-10-23,12.562635
Swedish Krona,SEK,2.428882,2.338491,,2025-10-23,2.324261
South African Rand,ZAR,1.300273,1.270763,,2025-10-23,1.270763
Euro,EUR,25.910217,25.335318,,2025-10-24,25.335318
Pound Sterling,GBP,29.762821,29.094358,,2025-10-24,29.094358
US Dollar,USD,22.2768,21.8736,,2025-10-24,21.8736
Australian Dollar,AUD,14.67935,14.153586,,2025-10-24,14.067459
Botswana Pula,BWP,1.593719,1.504498,,2025-10-24,1.495343
Canadian Dollar,CAD,16.121004,15.545045,,2025-10-24,15.450451
Swiss Franc,CHF,28.304872,27.278921,,2025-10-24,27.112923
Danish Kroner,DKK,3.503194,3.378234,,2025-10-24,3.357677
Indian Rupee,INR,0.25667,0.24751,,2025-10-24,0.246004
Japanese Yen,JPY,0.146195,0.142938,,2025-10-24,0.142938
Namibia Dollar,NAD,1.301727,1.254619,,2025-10-24,1.246985
Norwegian Krone,NOK,2.259827,2.176023,,2025-10-24,2.162782
New Zealand Dollar,NZD,12.96165,12.418692,,2025-10-24,12.418692
Swedish Krona,SEK,2.401483,2.315688,,2025-10-24,2.301597
South African Rand,ZAR,1.288927,1.259637,,2025-10-24,1.259637
Euro,EUR,25.952627,25.378977,,2025-10-25,25.378977
Pound Sterling,GBP,29.780678,29.105272,,2025-10-25,29.105272
US Dollar,USD,22.2768,21.8736,,2025-10-25,21.8736
Australian Dollar,AUD,14.686113,14.160109,,2025-10-25,14.073942
Botswana Pula,BWP,1.595974,1.506672,,2025-10-25,1.497504
Canadian Dollar,CAD,16.072727,15.500713,,2025-10-25,15.406388
Swiss Franc,CHF,28.358284,27.344108,,2025-10-25,27.177714
Danish Kroner,DKK,3.508919,3.383965,,2025-10-25,3.363373
Indian Rupee,INR,0.256819,0.247589,,2025-10-25,0.246083
Japanese Yen,JPY,0.146089,0.142826,,2025-10-25,0.142826
Namibia Dollar,NAD,1.305874,1.25927,,2025-10-25,1.251607
Norwegian Krone,NOK,2.25917,2.172067,,2025-10-25,2.158849
New Zealand Dollar,NZD,12.975175,12.43598,,2025-10-25,12.43598
Swedish Krona,SEK,2.403173,2.317194,,2025-10-25,2.303093
South African Rand,ZAR,1.293596,1.26383,,2025-10-25,1.26383
Euro,EUR,25.952627,25.378977,,2025-10-26,25.378977
Pound Sterling,GBP,29.780678,29.105272,,2025-10-26,29.105272
US Dollar,USD,22.2768,21.8736,,2025-10-26,21.8736
Australian Dollar,AUD,14.686113,14.160109,,2025-10-26,14.073942
Botswana Pula,BWP,1.595974,1.506672,,2025-10-26,1.497504
Canadian Dollar,CAD,16.072727,15.500713,,2025-10-26,15.406388
Swiss Franc,CHF,28.358284,27.344108,,2025-10-26,27.177714
Danish Kroner,DKK,3.508919,3.383965,,2025-10-26,3.363373
Indian Rupee,INR,0.256819,0.247589,,2025-10-26,0.246083
Japanese Yen,JPY,0.146089,0.142826,,2025-10-26,0.142826
Namibia Dollar,NAD,1.305874,1.25927,,2025-10-26,1.251607
Norwegian Krone,NOK,2.25917,2.172067,,2025-10-26,2.158849
New Zealand Dollar,NZD,12.975175,12.43598,,2025-10-26,12.43598
Swedish Krona,SEK,2.403173,2.317194,,2025-10-26,2.303093
South African Rand,ZAR,1.293596,1.26383,,2025-10-26,1.26383
Euro,EUR,25.952627,25.378977,,2025-10-27,25.378977
Pound Sterling,GBP,29.780678,29.105272,,2025-10-27,29.105272
US Dollar,USD,22.2768,21.8736,,2025-10-27,21.8736
Australian Dollar,AUD,14.686113,14.160109,,2025-10-27,14.073942
Botswana Pula,BWP,1.595974,1.506672,,2025-10-27,1.497504
Canadian Dollar,CAD,16.072727,15.500713,,2025-10-27,15.406388
Swiss Franc,CHF,28.358284,27.344108,,2025-10-27,27.177714
Danish Kroner,DKK,3.508919,3.383965,,2025-10-27,3.363373
Indian Rupee,INR,0.256819,0.247589,,2025-10-27,0.246083
Japanese Yen,JPY,0.146089,0.142826,,2025-10-27,0.142826
Namibia Dollar,NAD,1.305874,1.25927,,2025-10-27,1.251607
Norwegian Krone,NOK,2.25917,2.172067,,2025-10-27,2.158849
New Zealand Dollar,NZD,12.975175,12.43598,,2025-10-27,12.43598
Swedish Krona,SEK,2.403173,2.317194,,2025-10-27,2.303093
South African Rand,ZAR,1.293596,1.26383,,2025-10-27,1.26383
Euro,EUR,25.866302,25.294302,,2025-10-28,25.294302
Pound Sterling,GBP,29.63037,28.96893,,2025-10-28,28.96893
US Dollar,USD,22.176,21.7744,,2025-10-28,21.7744
Australian Dollar,AUD,14.700444,14.169476,,2025-10-28,14.083252
Botswana Pula,BWP,1.595484,1.506332,,2025-10-28,1.497166
Canadian Dollar,CAD,16.029716,15.459071,,2025-10-28,15.365
Swiss Franc,CHF,28.190955,27.179078,,2025-10-28,27.013688
Danish Kroner,DKK,3.497343,3.37224,,2025-10-28,3.351719
Indian Rupee,INR,0.254324,0.245246,,2025-10-28,0.243753
Japanese Yen,JPY,0.145153,0.141946,,2025-10-28,0.141946
Namibia Dollar,NAD,1.301586,1.255122,,2025-10-28,1.247485
Norwegian Krone,NOK,2.244651,2.164465,,2025-10-28,2.151294
New Zealand Dollar,NZD,12.927684,12.383883,,2025-10-28,12.383883
Swedish Krona,SEK,2.391559,2.306119,,2025-10-28,2.292086
South African Rand,ZAR,1.28905,1.260104,,2025-10-28,1.260104
Euro,EUR,25.86408,25.292129,,2025-10-29,25.292129
Pound Sterling,GBP,29.457054,28.805951,,2025-10-29,28.805951
US Dollar,USD,22.176,21.7744,,2025-10-29,21.7744
Australian Dollar,AUD,14.722884,14.197611,,2025-10-29,14.111216
Botswana Pula,BWP,1.815396,1.506332,,2025-10-29,1.497166
Canadian Dollar,CAD,16.045763,15.472333,,2025-10-29,15.378181
Swiss Franc,CHF,28.208674,27.202991,,2025-10-29,27.037456
Danish Kroner,DKK,3.49707,3.372503,,2025-10-29,3.351981
Indian Rupee,INR,0.254168,0.245082,,2025-10-29,0.243591
Japanese Yen,JPY,0.145992,0.142757,,2025-10-29,0.142757
Namibia Dollar,NAD,1.302932,1.256419,,2025-10-29,1.248774
Norwegian Krone,NOK,2.244292,2.163902,,2025-10-29,2.150734
New Zealand Dollar,NZD,12.945636,12.403243,,2025-10-29,12.403243
Swedish Krona,SEK,2.391253,2.305604,,2025-10-29,2.291574
South African Rand,ZAR,1.29036,1.261018,,2025-10-29,1.261018
Euro,EUR,25.859636,25.28561,,2025-10-30,25.28561
Pound Sterling,GBP,29.348176,28.692952,,2025-10-30,28.692952
US Dollar,USD,22.176,21.7744,,2025-10-30,21.7744
Australian Dollar,AUD,14.82162,14.288511,,2025-10-30,14.201562
Botswana Pula,BWP,1.597728,1.508496,,2025-10-30,1.499317
Canadian Dollar,CAD,16.121848,15.545683,,2025-10-30,15.451085
Swiss Franc,CHF,28.144989,27.131378,,2025-10-30,26.966278
Danish Kroner,DKK,3.496798,3.371662,,2025-10-30,3.351145
Indian Rupee,INR,0.254194,0.245121,,2025-10-30,0.243629
Japanese Yen,JPY,0.146184,0.142954,,2025-10-30,0.142954
Namibia Dollar,NAD,1.310977,1.264176,,2025-10-30,1.256484
Norwegian Krone,NOK,2.244494,2.164205,,2025-10-30,2.151036
New Zealand Dollar,NZD,12.990516,12.446265,,2025-10-30,12.446265
Swedish Krona,SEK,2.396489,2.310896,,2025-10-30,2.296834
South African Rand,ZAR,1.298276,1.26912,,2025-10-30,1.26912
Euro,EUR,25.836558,25.265463,,2025-10-31,25.265463
Pound Sterling,GBP,29.358811,28.710158,,2025-10-31,28.710158
US Dollar,USD,22.2768,21.8736,,2025-10-31,21.8736
Australian Dollar,AUD,14.760502,14.231855,,2025-10-31,14.145251
Botswana Pula,BWP,1.595974,1.506672,,2025-10-31,1.497504
Canadian Dollar,CAD,16.103729,15.528391,,2025-10-31,15.433898
Swiss Franc,CHF,28.128276,27.115615,,2025-10-31,26.950611
Danish Kroner,DKK,3.494125,3.369752,,2025-10-31,3.349246
Indian Rupee,INR,0.254209,0.245138,,2025-10-31,0.243646
Japanese Yen,JPY,0.144754,0.141557,,2025-10-31,0.141557
Namibia Dollar,NAD,1.302757,1.256265,,2025-10-31,1.248621
Norwegian Krone,NOK,2.236243,2.156169,,2025-10-31,2.143048
New Zealand Dollar,NZD,12.945871,12.403566,,2025-10-31,12.403566
Swedish Krona,SEK,2.387873,2.299645,,2025-10-31,2.285651
South African Rand,ZAR,1.290418,1.261092,,2025-10-31,1.261092
Euro,EUR,25.929684,25.354702,,2025-11-01,25.354702
Pound Sterling,GBP,29.470554,28.813261,,2025-11-01,28.813261
US Dollar,USD,22.42296,22.01744,,2025-11-01,22.01744
Australian Dollar,AUD,14.855078,14.325443,,2025-11-01,14.23827
Botswana Pula,BWP,1.826537,1.512203,,2025-11-01,1.503001
Canadian Dollar,CAD,16.181643,15.605983,,2025-11-01,15.511018
Swiss Franc,CHF,28.21425,27.209089,,2025-11-01,27.043516
Danish Kroner,DKK,3.506398,3.381377,,2025-11-01,3.3608
Indian Rupee,INR,0.255698,0.246578,,2025-11-01,0.245077
Japanese Yen,JPY,0.145836,0.14259,,2025-11-01,0.14259
Namibia Dollar,NAD,1.306676,1.26007,,2025-11-01,1.252403
Norwegian Krone,NOK,2.249108,2.168907,,2025-11-01,2.155709
New Zealand Dollar,NZD,12.994506,12.45033,,2025-11-01,12.45033
Swedish Krona,SEK,2.398941,2.309661,,2025-11-01,2.295606
South African Rand,ZAR,1.294208,1.265,,2025-11-01,1.265
Euro,EUR,25.929684,25.354702,,2025-11-02,25.354702
Pound Sterling,GBP,29.470554,28.813261,,2025-11-02,28.813261
US Dollar,USD,22.42296,22.01744,,2025-11-02,22.01744
Australian Dollar,AUD,14.855078,14.325443,,2025-11-02,14.23827
Botswana Pula,BWP,1.826537,1.512203,,2025-11-02,1.503001
Canadian Dollar,CAD,16.181643,15.605983,,2025-11-02,15.511018
Swiss Franc,CHF,28.21425,27.209089,,2025-11-02,27.043516
Danish Kroner,DKK,3.506398,3.381377,,2025-11-02,3.3608
Indian Rupee,INR,0.255698,0.246578,,2025-11-02,0.245077
Japanese Yen,JPY,0.145836,0.14259,,2025-11-02,0.14259
Namibia Dollar,NAD,1.306676,1.26007,,2025-11-02,1.252403
